"Survived","Pclass","Name","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked"
"No",3,"Mr","male",-0.500018260491413,1,0,-0.836202837739019,"None","S"
"Yes",1,"Mr","female",0.579057818284531,1,0,1.41321822670471,"C","C"
"Yes",3,"Miss","female",-0.216977911705527,0,0,-0.736877853737376,"None","S"
"Yes",1,"Mr","female",0.386295447485256,1,0,1.16535459335381,"C","S"
"No",3,"Mr","male",0.386295447485256,0,0,-0.719470701773455,"None","S"
"No",3,"Mr","male",-1.10533176188825,0,0,-0.66455569846615,"None","Q"
"No",1,"Mr","male",1.5548073601087,0,0,1.14494592890077,"E","S"
"No",3,"Master","male",-2.21562619006744,3,1,0.30293348516334,"None","S"
"Yes",3,"Mr","female",-0.147820787985588,0,2,-0.363371881436126,"None","S"
"Yes",2,"Mr","female",-1.10533176188825,1,0,0.649812196568809,"None","C"
"Yes",3,"Miss","female",-1.9963985486079,1,1,0.0660871738327348,"G","S"
"Yes",1,"Miss","female",1.78751095665877,0,0,0.530411543117919,"C","S"
"No",3,"Mr","male",-0.645866037809871,0,0,-0.719470701773455,"None","S"
"No",3,"Mr","male",0.64252010186733,1,5,0.686980506140679,"None","S"
"No",3,"Miss","female",-1.10533176188825,0,0,-0.746867150851037,"None","S"
"Yes",2,"Mr","female",1.61334927740746,0,0,0.0216992642274549,"None","S"
"No",3,"Master","male",-2.21562619006744,4,1,0.619390089420615,"None","Q"
"Yes",2,"Mr","male",0.22231169278044,0,0,-0.196863595224695,"None","S"
"No",3,"Mr","female",0.123209328815821,1,0,0.143205730140579,"None","S"
"Yes",3,"Mr","female",-0.487481704349442,0,0,-0.840066675866286,"None","C"
"No",2,"Mr","male",0.386295447485256,0,0,0.510113638945295,"None","S"
"Yes",2,"Mr","male",0.321204672227867,0,0,-0.196863595224695,"D","S"
"Yes",3,"Miss","female",-1.0260929423564,0,0,-0.722347233436107,"None","Q"
"Yes",1,"Mr","male",-0.079247413288739,0,0,0.805347313308259,"A","S"
"No",3,"Miss","female",-1.6120883962736,3,1,0.30293348516334,"None","S"
"Yes",3,"Mr","female",0.579057818284531,1,5,0.690367937677468,"None","S"
"No",3,"Mr","male",1.1375824987207,0,0,-0.840066675866286,"None","C"
"No",1,"Mr","male",-0.720016864155162,3,2,2.36410335120507,"C","S"
"Yes",3,"Miss","female",0.386295447485256,0,0,-0.743328977715624,"None","Q"
"No",3,"Mr","male",-0.572548722574306,0,0,-0.740986207722494,"None","S"
"No",1,"Mr","male",0.705606978787328,0,0,0.57205041114365,"None","C"
"Yes",1,"Mr","female",1.01578561680169,1,0,1.96662379363829,"B","C"
"Yes",3,"Miss","female",1.61334927740746,0,0,-0.761744035710529,"None","Q"
"No",2,"Mr","male",2.24205778925659,0,0,-0.426959807317749,"None","S"
"No",1,"Mr","male",-0.079247413288739,1,0,1.52826444140716,"None","C"
"No",1,"Mr","male",0.830699106349613,1,0,1.14724164061355,"None","S"
"Yes",3,"Mr","male",1.19802761616705,0,0,-0.839416569977556,"None","C"
"No",3,"Mr","male",-0.572548722574306,0,0,-0.719470701773455,"None","S"
"No",3,"Miss","female",-0.795053116090237,2,0,0.143205730140579,"None","S"
"Yes",3,"Miss","female",-1.10533176188825,1,0,-0.352885932498672,"None","C"
"No",3,"Mr","female",0.705606978787328,1,0,-0.539307054481259,"None","S"
"No",2,"Mr","female",-0.147820787985588,1,0,0.299361530508014,"None","S"
"No",3,"Mr","male",1.31804896439051,0,0,-0.740986207722494,"None","C"
"Yes",2,"Miss","female",-2.10272308554177,1,2,0.949601169499187,"None","C"
"Yes",3,"Miss","female",-0.720016864155162,0,0,-0.743328977715624,"None","Q"
"No",3,"Mr","male",0.663490954505668,0,0,-0.719470701773455,"None","S"
"No",3,"Mr","male",0.0562455013659998,1,0,-0.0113670500002414,"None","Q"
"Yes",3,"Miss","female",-0.757420838577991,0,0,-0.761744035710529,"None","Q"
"No",3,"Mr","male",-1.23629976721198,2,0,0.33118974597525,"None","C"
"No",3,"Mr","female",-0.795053116090237,1,0,0.131759316759492,"None","S"
"No",3,"Master","male",-1.70347910509883,4,1,0.907499637439395,"None","S"
"No",3,"Mr","male",-0.572548722574306,0,0,-0.754579119043529,"None","S"
"Yes",1,"Mr","female",1.25818070124534,1,0,1.47317541561758,"D","C"
"Yes",2,"Mr","female",-0.0112329734660294,1,0,0.510113638945295,"None","S"
"No",1,"Mr","male",2.18597466693244,0,1,1.29710865450209,"B","C"
"Yes",1,"Mr","male",-0.368171484769709,0,0,0.805347313308259,"C","S"
"Yes",2,"Miss","female",-0.572548722574306,0,0,-0.426959807317749,"None","S"
"No",3,"Mr","male",-0.0451718029761892,0,0,-0.839416569977556,"None","C"
"Yes",2,"Miss","female",-1.89503866387163,1,2,0.573062815983766,"None","S"
"No",3,"Master","male",-1.35110672042208,5,2,1.05695703005582,"None","S"
"No",3,"Mr","male",-0.500018260491413,0,0,-0.839416569977556,"None","C"
"Yes",1,"Miss","female",0.579057818284531,0,0,1.50681979349655,"B","S"
"No",1,"Mr","male",1.01578561680169,1,0,1.54082877989553,"C","S"
"No",3,"Master","male",-1.9963985486079,3,2,0.578244208059263,"None","S"
"No",1,"Mr","male",0.532082178564103,0,0,0.57205041114365,"None","C"
"Yes",3,"Master","male",1.50807581202045,1,1,-0.028640946184145,"None","C"
"Yes",2,"Mr","female",-0.0112329734660294,0,0,-0.426959807317749,"F","S"
"No",3,"Mr","male",-0.720016864155162,0,0,-0.70462009703724,"None","S"
"Yes",3,"Miss","female",-0.871032867329727,4,2,-0.736877853737376,"None","S"
"No",3,"Mr","male",-0.216977911705527,2,0,-0.638144859739646,"None","S"
"No",2,"Mr","male",0.189678340858551,0,0,-0.426959807317749,"None","S"
"No",3,"Miss","female",-0.948021467911243,5,2,1.05695703005582,"None","S"
"No",2,"Mr","male",-0.572548722574306,0,0,1.43825489726693,"None","S"
"No",3,"Mr","male",-0.216977911705527,1,0,-0.0845768091938574,"None","C"
"Yes",3,"Mr","male",0.189678340858551,0,0,1.21860609039513,"None","S"
"No",3,"Mr","male",-0.286745665146845,0,0,-0.77622192714443,"F","S"
"No",3,"Mr","male",-0.588362988034654,0,0,-0.740986207722494,"None","S"
"No",3,"Mr","male",-1.43616511261985,0,0,-0.719470701773455,"None","S"
"Yes",2,"Master","male",-2.36015930092918,0,2,0.615284018826517,"None","S"
"Yes",3,"Miss","female",0.0562455013659998,0,0,-0.240879246052493,"None","S"
"No",3,"Mr","male",-0.500018260491413,0,0,-0.595924594521121,"None","S"
"Yes",3,"Mr","male",-0.0112329734660294,0,0,-0.536412638171989,"None","S"
"Yes",3,"Miss","female",-0.871032867329727,0,0,-0.756365774461123,"None","Q"
"No",1,"Mr","male",-0.079247413288739,0,0,1.06071065307591,"None","S"
"Yes",2,"Miss","female",-0.871032867329727,0,0,-0.426959807317749,"None","S"
"Yes",3,"Mr","female",0.255671029140956,3,0,0.0119028140698475,"None","S"
"No",3,"Mr","male",-0.948021467911243,1,3,0.775494952657806,"None","S"
"No",3,"Mr","male",1.43191890910143,0,0,-0.719470701773455,"None","S"
"Yes",1,"Miss","female",-0.428232513132744,3,2,2.36410335120507,"C","S"
"No",3,"Mr","male",-0.357153254272081,0,0,-0.719470701773455,"None","S"
"No",3,"Mr","male",-0.0112329734660294,0,0,-0.719470701773455,"None","S"
"No",3,"Mr","male",-0.645866037809871,0,0,-0.746867150851037,"None","S"
"No",1,"Mr","male",1.07683780149007,1,0,1.2861182035906,"E","S"
"No",3,"Mr","male",-0.216977911705527,1,2,0.278841479559567,"None","S"
"No",3,"Mr","male",1.84509402519834,0,0,-0.836202837739019,"None","S"
"No",3,"Mr","male",-0.0451718029761892,0,0,-0.719470701773455,"None","S"
"No",1,"Mr","male",2.51956944584337,0,0,0.783008546564783,"A","C"
"Yes",1,"Mr","male",-0.428232513132744,0,1,1.31557057218514,"D","C"
"Yes",2,"Mr","female",0.321204672227867,0,1,0.389940016811045,"None","S"
"No",2,"Mr","male",0.321204672227867,1,0,0.510113638945295,"None","S"
"No",3,"Miss","female",-0.079247413288739,0,0,-0.740986207722494,"None","S"
"No",3,"Mr","male",0.745314213730147,0,0,-0.740986207722494,"None","S"
"No",1,"Mr","male",-0.572548722574306,0,1,1.47903683197447,"D","S"
"No",3,"Mr","male",0.255671029140956,0,0,-0.639205302610707,"None","S"
"No",3,"Mr","male",0.515208179196679,2,0,-0.736877853737376,"None","S"
"No",3,"Mr","male",-0.079247413288739,0,0,-0.740986207722494,"None","S"
"Yes",3,"Miss","female",-0.572548722574306,0,0,-0.77622192714443,"None","S"
"Yes",3,"Mr","male",0.920359933279233,0,0,-0.758155472685777,"None","S"
"No",3,"Mr","male",0.579057818284531,0,0,-0.740986207722494,"None","S"
"Yes",3,"Miss","female",-0.816323910183657,1,0,0.438026887098721,"None","Q"
"No",1,"Mr","male",1.1375824987207,0,0,1.14724164061355,"C","S"
"No",3,"Miss","female",-1.06556068835895,1,0,-0.0845768091938574,"None","C"
"No",3,"Mr","male",-0.500018260491413,0,0,-0.719470701773455,"None","S"
"No",3,"Miss","female",-0.645866037809871,1,0,-0.499519060214519,"None","S"
"No",3,"Miss","female",-0.871032867329727,0,0,-0.0842783266714547,"None","C"
"No",3,"Mr","male",-0.572548722574306,0,0,-0.736877853737376,"None","S"
"No",3,"Mr","male",2.4920290268778,0,0,-0.761744035710529,"None","Q"
"No",2,"Mr","male",-0.0112329734660294,1,0,0.299361530508014,"None","S"
"No",1,"Mr","male",-0.357153254272081,0,1,2.32491589458396,"B","C"
"No",3,"Miss","female",-2.21562619006744,4,2,0.686980506140679,"None","S"
"No",2,"Mr","male",-0.572548722574306,2,0,1.43825489726693,"None","S"
"No",3,"Mr","male",-0.228145792054849,0,0,-0.719470701773455,"None","S"
"No",2,"Mr","male",0.222733118508143,1,0,0.649812196568809,"None","C"
"Yes",2,"Miss","female",0.222733118508143,0,0,-0.196863595224695,"E","S"
"No",1,"Mr","male",1.5548073601087,0,1,1.47903683197447,"D","S"
"Yes",3,"Master","male",-1.26771592285763,1,0,-0.352885932498672,"None","C"
"No",3,"Mr","male",-0.240203744491299,0,0,-0.761744035710529,"None","Q"
"Yes",3,"Mr","male",-0.357153254272081,0,0,-0.853043093158954,"None","S"
"Yes",3,"Miss","female",0.0788418201063007,1,1,0.36189318601235,"F","C"
"No",3,"Mr","male",1.01578561680169,0,0,-0.879495043619048,"None","S"
"No",3,"Mr","male",0.255671029140956,0,0,-0.740986207722494,"None","C"
"No",3,"Mr","male",-0.645866037809871,0,0,-0.86751298134067,"None","S"
"No",3,"Mr","female",1.1375824987207,1,0,-0.0812479103796757,"None","S"
"Yes",2,"Mr","female",-0.0112329734660294,1,0,0.510113638945295,"None","S"
"No",2,"Mr","male",-0.286745665146845,0,0,-0.196863595224695,"None","S"
"No",2,"Mr","male",-0.428232513132744,0,0,-0.0424605961813559,"None","C"
"Yes",1,"Miss","female",-0.720016864155162,0,2,0.520630040186517,"D","S"
"No",1,"Mr","male",0.515208179196679,1,0,1.16535459335381,"C","S"
"No",3,"Mr","male",-0.948021467911243,0,0,-0.569704670403868,"None","S"
"No",1,"Mr","male",-0.357153254272081,0,0,1.49874283638811,"B","C"
"No",3,"Mr","female",1.33552500315573,0,2,-0.028640946184145,"None","C"
"Yes",3,"Miss","female",-0.500018260491413,0,0,-0.761744035710529,"None","S"
"Yes",3,"Mr","female",-0.357153254272081,1,0,0.0119028140698475,"None","S"
"No",3,"Mr","male",-0.720016864155162,0,0,-0.916266058633231,"None","Q"
"No",2,"Mr","male",-0.795053116090237,0,0,-0.328340973976106,"None","S"
"No",2,"Mr","male",-0.720016864155162,1,1,0.837251980075706,"None","S"
"Yes",3,"Mr","male",-0.147820787985588,0,0,-0.755179096420363,"None","S"
"No",3,"Miss","female",-1.52308121907662,2,2,0.775494952657806,"None","S"
"No",2,"Mr","male",0.48313417594433,0,2,0.510113638945295,"F","S"
"No",2,"Mr","male",0.830699106349613,0,0,-0.196863595224695,"None","S"
"No",2,"Mr","male",1.37763930040212,0,0,-0.236599585747812,"None","S"
"Yes",1,"Mr","female",-0.500018260491413,1,0,1.3571643206101,"C","S"
